pair,i,side,price,atr,tp_dist,tp_frac,structure_quality,spike_risk_score,spike_bucket,move_potential,wall_ratio,overall_score,reason,mfe_frac,mae_frac,bars_held,main_correct,second_correct
ETHUSDT,784,long,1881.36,0.7078571428571487,11.28816,0.006,1.0,0.2355,low,0.15,0.31803234539554237,0.2258,TP,0.006187,0.004704,209,True,True
ETHUSDT,787,short,1880.31,0.7878571428571571,11.28186,0.006,1.0,0.3723,medium,0.15,0.37582455375266216,0.1711,TIMEOUT,0.004148,0.010126,240,False,False
ETHUSDT,793,short,1876.41,1.0728571428571578,11.258460000000001,0.006,1.0,0.4381,medium,0.15,0.030199512189068974,0.1448,TIMEOUT,0.002078,0.012225,240,False,False
ETHUSDT,823,long,1878.8,1.049285714285702,11.2728,0.006,1.0,0.2605,low,0.15,0.5455609963806766,0.2158,TP,0.006552,0.003348,162,True,True
ETHUSDT,829,short,1878.32,0.7599999999999747,11.269919999999999,0.006,1.0,0.4868,medium,0.15,0.19964649261041784,0.1253,TIMEOUT,0.003093,0.011196,240,False,False
ETHUSDT,832,short,1877.08,0.6571428571428279,11.26248,0.006,1.0,0.0558,low,0.15,0.08967829465623832,0.2977,TIMEOUT,0.002435,0.011864,240,False,False
ETHUSDT,841,short,1877.27,0.7585714285714046,11.26362,0.006,1.0,0.1274,low,0.15,0.10653768504264576,0.269,TIMEOUT,0.002536,0.011762,240,False,False
ETHUSDT,850,short,1875.96,0.6921428571428611,11.25576,0.006,1.0,0.3323,medium,0.15,0.12971136555861498,0.1871,TIMEOUT,0.001839,0.012468,240,False,False
ETHUSDT,856,long,1876.73,0.642142857142874,11.26038,0.006,1.0,0.5243,medium,0.4,0.7299931263420975,0.3103,TP,0.006005,0.002249,81,True,True
ETHUSDT,883,long,1881.29,1.1364285714285447,11.28774,0.006,1.0,0.4928,medium,0.15,0.3242455974358093,0.1229,TP,0.006224,7.4e-05,110,True,True
ETHUSDT,892,long,1882.32,0.9957142857142733,11.29392,0.006,1.0,0.2377,low,0.15,0.23286865853486735,0.2249,TP,0.006407,0.000499,102,True,True
ETHUSDT,922,long,1884.62,0.8049999999999825,11.30772,0.006,1.0,0.3106,low,0.15,0.029183601999355716,0.1958,TP,0.006935,0.000801,91,True,True
ETHUSDT,925,short,1883.8,0.8564285714285721,11.3028,0.006,1.0,0.0817,low,0.15,0.6839013341826821,0.2873,TIMEOUT,0.000366,0.008255,240,False,False
ETHUSDT,931,short,1883.39,0.7392857142857403,11.30034,0.006,0.15,0.0631,low,0.15,0.6477681202512635,-0.3852,TIMEOUT,5e-06,0.008474,240,False,True
ETHUSDT,934,long,1884.12,0.49214285714288053,11.30472,0.006,1.0,0.1219,low,0.15,0.07342065968906392,0.2712,TP,0.007202,2.7e-05,79,True,True
ETHUSDT,952,short,1886.32,0.5350000000000169,11.317919999999999,0.006,0.15,0.1745,low,0.4,0.9056434397839886,-0.2298,TIMEOUT,0.000875,0.006908,240,False,True
ETHUSDT,955,long,1886.39,0.37857142857144155,11.318340000000001,0.006,1.0,0.4843,medium,0.15,0.21734635997856655,0.1263,TP,0.006043,0.000912,60,True,True
ETHUSDT,961,long,1886.49,0.5664285714285759,11.31894,0.006,1.0,0.4355,medium,0.15,0.15902549178632933,0.1458,TP,0.006817,0.000965,61,True,True
ETHUSDT,970,short,1885.23,0.7078571428571162,11.31138,0.006,0.7,0.3061,low,0.4,0.8098039319694045,0.1576,TIMEOUT,0.000143,0.00749,240,False,False
ETHUSDT,985,long,1889.39,0.75,11.336340000000002,0.006,1.0,0.9289,medium,0.9,,0.5484,TIMEOUT,0.005272,0.000561,240,False,False
ETHUSDT,991,long,1890.34,0.8692857142857194,11.342039999999999,0.006,1.0,0.2454,low,0.9,,0.8218,TIMEOUT,0.004766,0.0,240,False,False
ETHUSDT,1012,long,1892.18,0.7571428571428669,11.35308,0.006,1.0,0.4755,medium,0.9,,0.7298,TIMEOUT,0.003789,0.003266,240,False,False
ETHUSDT,1018,long,1896.29,1.372857142857161,11.37774,0.006,1.0,0.1505,low,0.9,,0.8598,TIMEOUT,0.001614,0.006629,240,False,False
ETHUSDT,1036,long,1897.99,1.2692857142857292,11.38794,0.006,1.0,0.1838,low,0.9,,0.8465,TIMEOUT,0.000263,0.009341,240,False,False
ETHUSDT,1054,long,1896.83,0.7435714285714182,11.38098,0.006,1.0,0.26,low,0.15,0.22142205680002794,0.216,TIMEOUT,0.00059,0.008736,240,False,False
ETHUSDT,1087,long,1894.35,0.598571428571485,11.3661,0.006,1.0,0.2951,low,0.15,0.43990462867650293,0.202,TIMEOUT,0.0019,0.007438,240,False,False
ETHUSDT,1120,long,1896.15,0.6714285714285779,11.376900000000001,0.006,1.0,0.5461,medium,0.15,0.2812716996721267,0.1016,TIMEOUT,0.000949,0.00838,240,False,False
