pair,i,variant,sweep,dir,atr_frac,mfe,mae,ret30,ret60,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,ts,hyp
XRPUSDT,28419,C_2bar,buy,-1,0.0009735601557696087,0.023744619799139104,0.0011477761836442223,0.006312769010042984,0.006671449067431754,0.01987087517933991,-0.002373560155769609,-0.0008158639065382348,-0.0008158639065382348,-0.002373560155769609,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,0.00015769624923137418,0.00015769624923137418,2026-09-01 05:52:00+00:00,REVERSAL
XRPUSDT,28419,C_2bar,buy,1,0.0009735601557696087,0.0011477761836442223,0.023744619799139104,-0.006312769010042984,-0.006671449067431754,-0.01987087517933991,-0.0008158639065382348,-0.0008158639065382348,-0.0008158639065382348,-0.00042643984423039124,-0.00042643984423039124,-0.00042643984423039124,-0.002373560155769609,-0.002860340233654413,-0.0033471203115392175,2026-09-01 05:52:00+00:00,CONTINUATION
XRPUSDT,28422,A_sweeponly,buy,-1,0.0009682277845513834,0.023954672595567737,0.00035860288316714116,0.005809366707308324,0.007387219393244063,0.020010040880728705,-0.00081906332926917,-0.00081906332926917,-0.00081906332926917,-0.0004317722154486166,-0.0004317722154486166,-0.0004317722154486166,0.00014916445528221343,0.00014916445528221343,0.00014916445528221343,2026-09-01 05:55:00+00:00,REVERSAL
XRPUSDT,28422,A_sweeponly,buy,1,0.0009682277845513834,0.00035860288316714116,0.023954672595567737,-0.005809366707308324,-0.007387219393244063,-0.020010040880728705,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,2026-09-01 05:55:00+00:00,CONTINUATION
XRPUSDT,28422,B_samebar,buy,-1,0.0009682277845513834,0.023954672595567737,0.00035860288316714116,0.005809366707308324,0.007387219393244063,0.020010040880728705,-0.00081906332926917,-0.00081906332926917,-0.00081906332926917,-0.0004317722154486166,-0.0004317722154486166,-0.0004317722154486166,0.00014916445528221343,0.00014916445528221343,0.00014916445528221343,2026-09-01 05:55:00+00:00,REVERSAL
XRPUSDT,28422,B_samebar,buy,1,0.0009682277845513834,0.00035860288316714116,0.023954672595567737,-0.005809366707308324,-0.007387219393244063,-0.020010040880728705,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,2026-09-01 05:55:00+00:00,CONTINUATION
XRPUSDT,28422,C_2bar,buy,-1,0.0009682277845513834,0.023954672595567737,0.00035860288316714116,0.005809366707308324,0.007387219393244063,0.020010040880728705,-0.00081906332926917,-0.00081906332926917,-0.00081906332926917,-0.0004317722154486166,-0.0004317722154486166,-0.0004317722154486166,0.00014916445528221343,0.00014916445528221343,0.00014916445528221343,2026-09-01 05:55:00+00:00,REVERSAL
XRPUSDT,28422,C_2bar,buy,1,0.0009682277845513834,0.00035860288316714116,0.023954672595567737,-0.005809366707308324,-0.007387219393244063,-0.020010040880728705,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,-0.0023682277845513836,-0.002852341676827075,-0.003336455569102767,2026-09-01 05:55:00+00:00,CONTINUATION
XRPUSDT,28525,E_mss,sell,-1,0.0008395435370694629,0.012624247261118828,0.004643401291445956,0.005223826452876801,0.009794674599143922,-0.004208082420372943,-0.0008962738777583222,-0.0008962738777583222,-0.0008962738777583222,-0.0022395435370694628,-0.0026593153056041945,-0.003079087074138926,-0.0022395435370694628,-0.0026593153056041945,-0.003079087074138926,2026-09-01 07:38:00+00:00,CONTINUATION
XRPUSDT,28525,A_sweeponly,sell,1,0.0008395435370694629,0.004643401291445956,0.012624247261118828,-0.005223826452876801,-0.009794674599143922,0.004208082420372943,-0.0008962738777583222,-0.0008962738777583222,-0.0008962738777583222,-0.0005604564629305371,-0.0005604564629305371,-0.0005604564629305371,-5.673034068885935e-05,-5.673034068885935e-05,-5.673034068885935e-05,2026-09-01 07:38:00+00:00,REVERSAL
XRPUSDT,28525,A_sweeponly,sell,-1,0.0008395435370694629,0.012624247261118828,0.004643401291445956,0.005223826452876801,0.009794674599143922,-0.004208082420372943,-0.0008962738777583222,-0.0008962738777583222,-0.0008962738777583222,-0.0022395435370694628,-0.0026593153056041945,-0.003079087074138926,-0.0022395435370694628,-0.0026593153056041945,-0.003079087074138926,2026-09-01 07:38:00+00:00,CONTINUATION
XRPUSDT,28554,A_sweeponly,sell,1,0.0010000208337673873,0.011375236984103879,0.007656409508531394,-0.0045209275193233076,-0.005760536677847468,0.007948082251713673,-0.0007999874997395676,-0.0007999874997395676,-0.0007999874997395676,-0.0003999791662326127,-0.0003999791662326127,-0.0003999791662326127,0.0002000333340278198,0.0002000333340278198,0.0002000333340278198,2026-09-01 08:07:00+00:00,REVERSAL
