pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,ts_parsed,fold
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,0.006,TP,1.6,110.0,CHOP,2026-08-17 02:52:00+00:00,f1
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,1.6,108.0,CHOP,2026-08-17 02:53:00+00:00,f1
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,1.6,106.0,CHOP,2026-08-17 02:53:00+00:00,f1
BTCUSDT,2026-08-17 05:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,150.0,CHOP,2026-08-17 05:28:00+00:00,f1
SOLUSDT,2026-08-17 06:45:00+00:00,0.004600000000000001,0.006,TP,1.6,306.0,CHOP,2026-08-17 06:45:00+00:00,f1
NEARUSDT,2026-08-17 06:46:00+00:00,0.004600000000000001,0.006,TP,1.6,78.0,TREND,2026-08-17 06:46:00+00:00,f1
ETHUSDT,2026-08-17 07:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,245.0,TREND,2026-08-17 07:01:00+00:00,f1
BTCUSDT,2026-08-17 07:17:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,263.0,CHOP,2026-08-17 07:17:00+00:00,f1
BTCUSDT,2026-08-17 09:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,117.0,TREND,2026-08-17 09:15:00+00:00,f1
BTCUSDT,2026-08-17 13:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,226.0,CHOP,2026-08-17 13:02:00+00:00,f1
BTCUSDT,2026-08-17 15:28:00+00:00,0.004600000000000001,0.006,TP,1.6,519.0,CHOP,2026-08-17 15:28:00+00:00,f1
SOLUSDT,2026-08-17 16:20:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,559.0,TREND,2026-08-17 16:20:00+00:00,f1
BTCUSDT,2026-08-17 17:23:00+00:00,0.004600000000000001,0.006,TP,1.6,114.0,TREND,2026-08-17 17:23:00+00:00,f1
SOLUSDT,2026-08-17 17:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,79.0,CHOP,2026-08-17 17:39:00+00:00,f1
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,659.0,TREND,2026-08-17 17:46:00+00:00,f1
BTCUSDT,2026-08-17 18:23:00+00:00,0.004600000000000001,0.006,TP,1.6,44.0,TREND,2026-08-17 18:23:00+00:00,f1
BTCUSDT,2026-08-17 18:29:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,66.0,CHOP,2026-08-17 18:29:00+00:00,f1
BTCUSDT,2026-08-17 19:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,75.0,TREND,2026-08-17 19:01:00+00:00,f1
ETHUSDT,2026-08-18 02:30:00+00:00,0.004600000000000001,0.006,TP,1.6,447.0,CHOP,2026-08-18 02:30:00+00:00,f1
NEARUSDT,2026-08-18 02:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,19.0,CHOP,2026-08-18 02:49:00+00:00,f1
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1541.0,CHOP,2026-08-18 03:36:00+00:00,f1
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,174.0,CHOP,2026-08-18 06:30:00+00:00,f1
