pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
ETHUSDT,2026-08-17 07:01:00+00:00,0.0005000000000000001,BE_STOP,0.005195296889131881,0.006,2026-08-17 07:01:00+00:00,f1
BTCUSDT,2026-08-17 07:17:00+00:00,0.0005000000000000001,BE_STOP,0.004462053617197032,0.006,2026-08-17 07:17:00+00:00,f1
BTCUSDT,2026-08-17 09:15:00+00:00,0.0005000000000000001,BE_STOP,0.003092343615428247,0.006,2026-08-17 09:15:00+00:00,f1
BTCUSDT,2026-08-17 13:02:00+00:00,0.0005000000000000001,BE_STOP,0.005775431777022045,0.006,2026-08-17 13:02:00+00:00,f1
BTCUSDT,2026-08-17 15:28:00+00:00,0.004600000000000001,TP,0.006925373134328404,0.006,2026-08-17 15:28:00+00:00,f1
SOLUSDT,2026-08-17 16:20:00+00:00,0.0005000000000000001,BE_STOP,0.004972761927373871,0.006,2026-08-17 16:20:00+00:00,f1
BTCUSDT,2026-08-17 17:23:00+00:00,0.004600000000000001,TP,0.0060347682636488495,0.006,2026-08-17 17:23:00+00:00,f1
SOLUSDT,2026-08-17 17:39:00+00:00,0.0005000000000000001,BE_STOP,0.003726577211256123,0.006,2026-08-17 17:39:00+00:00,f1
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,MAE_KILL,0.0015732784702892021,0.006,2026-08-17 17:46:00+00:00,f1
BTCUSDT,2026-08-17 18:23:00+00:00,0.004600000000000001,TP,0.00610585454698414,0.006,2026-08-17 18:23:00+00:00,f1
BTCUSDT,2026-08-17 18:29:00+00:00,0.0005000000000000001,BE_STOP,0.0036398788986490654,0.006,2026-08-17 18:29:00+00:00,f1
BTCUSDT,2026-08-17 19:01:00+00:00,0.0005000000000000001,BE_STOP,0.005364893729644207,0.006,2026-08-17 19:01:00+00:00,f1
ETHUSDT,2026-08-18 02:30:00+00:00,0.004600000000000001,TP,0.006108815571449475,0.006,2026-08-18 02:30:00+00:00,f1
NEARUSDT,2026-08-18 02:49:00+00:00,0.0005000000000000001,BE_STOP,0.004174083849978465,0.006,2026-08-18 02:49:00+00:00,f1
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005000000000000001,BE_STOP,0.0034153330478411165,0.006,2026-08-18 03:36:00+00:00,f1
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,MAE_KILL,0.0,0.006,2026-08-18 06:30:00+00:00,f1
BTCUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,TP,0.006533959989386753,0.006,2026-08-18 14:26:00+00:00,f1
ETHUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,TP,0.006323719736108325,0.006,2026-08-18 14:26:00+00:00,f1
BTCUSDT,2026-08-18 14:27:00+00:00,0.004600000000000001,TP,0.0065240310077519835,0.006,2026-08-18 14:27:00+00:00,f1
BTCUSDT,2026-08-18 22:01:00+00:00,-0.028554714242977803,MAX_AGE,0.002711493294464376,0.006,2026-08-18 22:01:00+00:00,f1
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,MAX_AGE,0.002767033005500675,0.006,2026-08-18 22:05:00+00:00,f1
BTCUSDT,2026-08-18 22:07:00+00:00,-0.028417050923664595,MAX_AGE,0.002859056622685737,0.006,2026-08-18 22:07:00+00:00,f1
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,BE_STOP,0.003880976416007116,0.006,2026-08-19 00:03:00+00:00,f1
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,BE_STOP,0.003980750117696239,0.006,2026-08-19 00:03:00+00:00,f1
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005000000000000001,BE_STOP,0.0036277338686070623,0.006,2026-08-19 02:26:00+00:00,f1
BTCUSDT,2026-08-19 05:53:00+00:00,0.004600000000000001,TP,0.006165962648346717,0.006,2026-08-19 05:53:00+00:00,f1
BTCUSDT,2026-08-19 06:09:00+00:00,0.004600000000000001,TP,0.0062004048927901964,0.006,2026-08-19 06:09:00+00:00,f1
NEARUSDT,2026-08-19 06:48:00+00:00,0.004600000000000001,TP,0.006617968408566002,0.006,2026-08-19 06:48:00+00:00,f1
NEARUSDT,2026-08-19 06:56:00+00:00,0.004600000000000001,TP,0.008259330559522987,0.006,2026-08-19 06:56:00+00:00,f1
BTCUSDT,2026-08-19 12:38:00+00:00,0.004600000000000001,TP,0.006649043694604238,0.006,2026-08-19 12:38:00+00:00,f1
BTCUSDT,2026-08-19 12:41:00+00:00,0.004600000000000001,TP,0.006006519232980212,0.006,2026-08-19 12:41:00+00:00,f1
ETHUSDT,2026-08-19 12:47:00+00:00,0.004600000000000001,TP,0.006199666651089525,0.006,2026-08-19 12:47:00+00:00,f1
BTCUSDT,2026-08-19 13:03:00+00:00,-0.0214630918801097,MAX_AGE,0.0013292448031094592,0.006,2026-08-19 13:03:00+00:00,f1
XRPUSDT,2026-08-19 13:20:00+00:00,0.004600000000000001,TP,0.006233303650934968,0.006,2026-08-19 13:20:00+00:00,f1
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,TP,0.006000777878613939,0.006,2026-08-19 13:31:00+00:00,f1
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,TP,0.006535180644005677,0.006,2026-08-19 13:31:00+00:00,f1
BTCUSDT,2026-08-19 13:34:00+00:00,0.0005000000000000001,BE_STOP,0.003578247213155162,0.006,2026-08-19 13:34:00+00:00,f1
NEARUSDT,2026-08-19 13:44:00+00:00,0.0005000000000000001,BE_STOP,0.003150092649783882,0.006,2026-08-19 13:44:00+00:00,f1
BTCUSDT,2026-08-19 14:10:00+00:00,0.004600000000000001,TP,0.006532004358773901,0.006,2026-08-19 14:10:00+00:00,f1
NEARUSDT,2026-08-19 14:14:00+00:00,0.0005000000000000001,BE_STOP,0.003695719125346477,0.006,2026-08-19 14:14:00+00:00,f1
BTCUSDT,2026-08-19 14:17:00+00:00,0.004600000000000001,TP,0.006228354545622313,0.006,2026-08-19 14:17:00+00:00,f1
SOLUSDT,2026-08-19 14:44:00+00:00,0.004600000000000001,TP,0.006392705693583039,0.006,2026-08-19 14:44:00+00:00,f1
NEARUSDT,2026-08-19 14:47:00+00:00,0.0005000000000000001,BE_STOP,0.0031974420463628302,0.006,2026-08-19 14:47:00+00:00,f1
XRPUSDT,2026-08-19 14:52:00+00:00,0.004600000000000001,TP,0.006181318681318653,0.006,2026-08-19 14:52:00+00:00,f1
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,TP,0.007929515418502198,0.006,2026-08-19 14:54:00+00:00,f1
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,TP,0.007929515418502198,0.006,2026-08-19 14:54:00+00:00,f1
BTCUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,TP,0.00902632896124517,0.006,2026-08-19 14:55:00+00:00,f1
NEARUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,TP,0.006694098139163489,0.006,2026-08-19 14:55:00+00:00,f1
NEARUSDT,2026-08-19 15:00:00+00:00,0.004600000000000001,TP,0.006746810598626042,0.006,2026-08-19 15:00:00+00:00,f1
NEARUSDT,2026-08-19 15:02:00+00:00,0.0005000000000000001,BE_STOP,0.003975778335066334,0.006,2026-08-19 15:02:00+00:00,f1
ETHUSDT,2026-08-19 15:04:00+00:00,0.004600000000000001,TP,0.006776104728068946,0.006,2026-08-19 15:04:00+00:00,f1
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,TP,0.008067712295630684,0.006,2026-08-19 15:05:00+00:00,f1
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,TP,0.0077264737223994885,0.006,2026-08-19 15:05:00+00:00,f1
SOLUSDT,2026-08-19 15:05:00+00:00,0.004879527976102221,TP,0.0068466063572099715,0.00627952797610222,2026-08-19 15:05:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,0.0014835013126880475,0.006,2026-08-19 15:14:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,0.0002524851080542296,0.006,2026-08-19 15:14:00+00:00,f1
ETHUSDT,2026-08-19 15:18:00+00:00,0.0005000000000000001,BE_STOP,0.0035505430242271712,0.007012997345972673,2026-08-19 15:18:00+00:00,f1
BTCUSDT,2026-08-19 15:22:00+00:00,0.004600000000000001,TP,0.006821605012652039,0.006,2026-08-19 15:22:00+00:00,f1
BTCUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,TP,0.00744024776747433,0.006,2026-08-19 15:23:00+00:00,f1
ETHUSDT,2026-08-19 15:23:00+00:00,0.005121412963327725,TP,0.007655435707779431,0.006521412963327725,2026-08-19 15:23:00+00:00,f1
NEARUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,TP,0.00864535768645357,0.006,2026-08-19 15:23:00+00:00,f1
ETHUSDT,2026-08-19 15:24:00+00:00,0.005419711528242839,TP,0.00872372714919118,0.006819711528242838,2026-08-19 15:24:00+00:00,f1
NEARUSDT,2026-08-19 15:26:00+00:00,-0.0264,MAE_KILL,0.0025341492057605495,0.006,2026-08-19 15:26:00+00:00,f1
BTCUSDT,2026-08-19 15:26:00+00:00,0.004600000000000001,TP,0.0066337042228972725,0.006,2026-08-19 15:26:00+00:00,f1
BTCUSDT,2026-08-19 15:35:00+00:00,0.00977212520505511,TP,0.012317333006524806,0.01117212520505511,2026-08-19 15:35:00+00:00,f1
NEARUSDT,2026-08-19 15:40:00+00:00,0.006009111434876377,TP,0.007455120176537219,0.007409111434876377,2026-08-19 15:40:00+00:00,f1
NEARUSDT,2026-08-19 15:43:00+00:00,0.0005000000000000001,BE_STOP,0.005990865413132451,0.007334785150788448,2026-08-19 15:43:00+00:00,f1
BTCUSDT,2026-08-19 15:54:00+00:00,0.0005000000000000001,BE_STOP,0.009049375692778637,0.013106136835675991,2026-08-19 15:54:00+00:00,f1
XRPUSDT,2026-08-19 16:00:00+00:00,0.0005000000000000001,BE_STOP,0.005152707513584468,0.006,2026-08-19 16:00:00+00:00,f1
ETHUSDT,2026-08-19 16:01:00+00:00,0.004600000000000001,TP,0.006033551731586226,0.006,2026-08-19 16:01:00+00:00,f1
BTCUSDT,2026-08-19 16:05:00+00:00,0.0047900307363356815,TP,0.007922123479887746,0.006190030736335681,2026-08-19 16:05:00+00:00,f1
BTCUSDT,2026-08-19 16:05:00+00:00,0.004600000000000001,TP,0.007546590884185764,0.006,2026-08-19 16:05:00+00:00,f1
BTCUSDT,2026-08-19 16:09:00+00:00,0.0005000000000000001,BE_STOP,0.004938858131336525,0.006,2026-08-19 16:09:00+00:00,f1
BTCUSDT,2026-08-19 16:11:00+00:00,0.0005000000000000001,BE_STOP,0.006283617939685526,0.007037185125949582,2026-08-19 16:11:00+00:00,f1
ETHUSDT,2026-08-19 16:23:00+00:00,0.0005000000000000001,BE_STOP,0.003575047316802731,0.006,2026-08-19 16:23:00+00:00,f1
