pair,i,dir,atr_frac,mfe,mae,ret30,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,premise,variant,ts
SOLUSDT,17727,1,0.00145505673086354,0.026509082585988077,0.004629725961838502,0.0013316964564389618,0.024313864208576993,-0.000526965961481876,-0.000526965961481876,-0.000526965961481876,5.5056730863539986e-05,5.5056730863539986e-05,5.5056730863539986e-05,0.000928090769381664,0.000928090769381664,0.000928090769381664,MSS,M2_retest,2026-08-24 19:40:00+00:00
SOLUSDT,17727,-1,0.00145505673086354,0.004629725961838502,0.026509082585988077,-0.0013316964564389618,-0.024313864208576993,-0.000526965961481876,-0.000526965961481876,-0.000526965961481876,-0.0028550567308635397,-0.0035825850962953104,-0.00431011346172708,-0.0028550567308635397,-0.0035825850962953104,-0.00431011346172708,MSS,M2_retest,2026-08-24 19:40:00+00:00
SOLUSDT,17772,-1,0.0012135107679502064,0.0009815489678072205,0.06508505017385952,-0.007048356949679923,-0.040765608194889794,-0.0006718935392298761,-0.0006718935392298761,-0.0006718935392298761,-0.0026135107679502063,-0.0032202661519253094,-0.0038270215359004125,-0.0026135107679502063,-0.0032202661519253094,-0.0038270215359004125,MSS,M1_break_close,2026-08-24 20:25:00+00:00
SOLUSDT,17772,1,0.0012135107679502064,0.06508505017385952,0.0009815489678072205,0.007048356949679923,0.040765608194889794,-0.0006718935392298761,-0.0006718935392298761,-0.0006718935392298761,-0.00018648923204979363,-0.00018648923204979363,-0.00018648923204979363,0.0005416172287203303,0.0005416172287203303,0.0005416172287203303,MSS,M1_break_close,2026-08-24 20:25:00+00:00
SOLUSDT,17777,-1,0.0011485874089180168,0.0,0.06436263461056857,-0.008264462809917373,-0.04079013273228156,-0.002548587408918017,-0.003122881113377025,-0.0036971748178360334,-0.002548587408918017,-0.003122881113377025,-0.0036971748178360334,-0.002548587408918017,-0.003122881113377025,-0.0036971748178360334,MSS,M2_retest,2026-08-24 20:30:00+00:00
SOLUSDT,17777,1,0.0011485874089180168,0.06436263461056857,0.0,0.008264462809917373,0.04079013273228156,-0.0007108475546491899,-0.0007108475546491899,-0.0007108475546491899,-0.0002514125910819832,-0.0002514125910819832,-0.0002514125910819832,0.00043773985426882704,0.00043773985426882704,0.00043773985426882704,MSS,M2_retest,2026-08-24 20:30:00+00:00
SOLUSDT,17783,1,0.0014304658893457669,0.05675390066513328,0.0023725161103168107,0.0022896334514410127,0.04175213940863224,-0.0005417204663925399,-0.0005417204663925399,-0.0005417204663925399,3.046588934576687e-05,3.046588934576687e-05,3.046588934576687e-05,-0.002830465889345767,-0.00354569883401865,0.0008887454229532272,MSS,M1_break_close,2026-08-24 20:36:00+00:00
SOLUSDT,17783,-1,0.0014304658893457669,0.0023725161103168107,0.05675390066513328,-0.0022896334514410127,-0.04175213940863224,-0.002830465889345767,-0.0005417204663925399,-0.0005417204663925399,-0.002830465889345767,3.046588934576687e-05,3.046588934576687e-05,-0.002830465889345767,0.0008887454229532272,0.0008887454229532272,MSS,M1_break_close,2026-08-24 20:36:00+00:00
SOLUSDT,17798,1,0.0009300807701721501,0.06727584237578525,0.00012460412231971813,0.003935413529930851,0.05364207465863659,-0.0008419515378967099,-0.0008419515378967099,-0.0008419515378967099,-0.00046991922982784985,-0.00046991922982784985,-0.00046991922982784985,8.812923227544036e-05,8.812923227544036e-05,8.812923227544036e-05,MSS,M2_retest,2026-08-24 20:51:00+00:00
SOLUSDT,17798,-1,0.0009300807701721501,0.00012460412231971813,0.06727584237578525,-0.003935413529930851,-0.05364207465863659,-0.00233008077017215,-0.002795121155258225,-0.0032601615403443003,-0.00233008077017215,-0.002795121155258225,-0.0032601615403443003,-0.00233008077017215,-0.002795121155258225,-0.0032601615403443003,MSS,M2_retest,2026-08-24 20:51:00+00:00
