pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime
BTCUSDT,2026-09-03 07:16:00+00:00,0.0005000000000000001,BE_STOP,281.0,8,6,CHOP
NEARUSDT,2026-09-03 07:40:00+00:00,0.0005000000000000001,BE_STOP,24.0,8,0,CHOP
XRPUSDT,2026-09-03 08:10:00+00:00,0.0005000000000000001,BE_STOP,29.0,8,0,CHOP
NEARUSDT,2026-09-03 12:17:00+00:00,0.0005000000000000001,BE_STOP,247.0,8,0,CHOP
SOLUSDT,2026-09-03 12:54:00+00:00,-0.0414,MAE_KILL,1526.0,8,1,TREND
BTCUSDT,2026-09-03 12:55:00+00:00,0.004600000000000001,TP,2803.0,8,4,CHOP
ETHUSDT,2026-09-03 13:35:00+00:00,0.0005000000000000001,BE_STOP,37.0,8,0,CHOP
ETHUSDT,2026-09-03 13:48:00+00:00,0.0005000000000000001,BE_STOP,13.0,8,0,CHOP
BTCUSDT,2026-09-03 13:54:00+00:00,0.0005000000000000001,BE_STOP,58.0,7,5,CHOP
BTCUSDT,2026-09-03 14:23:00+00:00,0.004600000000000001,TP,35.0,8,6,CHOP
BTCUSDT,2026-09-03 14:30:00+00:00,-0.0414,MAE_KILL,1537.0,8,5,CHOP
BTCUSDT,2026-09-03 14:30:00+00:00,-0.0414,MAE_KILL,1529.0,8,6,CHOP
BTCUSDT,2026-09-03 14:32:00+00:00,-0.0414,MAE_KILL,1546.0,8,6,CHOP
NEARUSDT,2026-09-03 14:32:00+00:00,0.004600000000000001,TP,9.0,8,0,CHOP
BTCUSDT,2026-09-03 14:48:00+00:00,-0.0414,MAE_KILL,557.0,8,6,CHOP
BTCUSDT,2026-09-03 14:48:00+00:00,0.004600000000000001,TP,15.0,5,2,TREND
ETHUSDT,2026-09-03 14:48:00+00:00,0.004600000000000001,TP,13.0,6,0,TREND
BTCUSDT,2026-09-03 14:48:00+00:00,0.004600000000000001,TP,10.0,7,3,TREND
BTCUSDT,2026-09-03 14:48:00+00:00,0.004600000000000001,TP,8.0,8,4,TREND
BTCUSDT,2026-09-03 14:49:00+00:00,-0.0414,MAE_KILL,565.0,8,6,CHOP
SOLUSDT,2026-09-03 14:59:00+00:00,-0.0414,MAE_KILL,160.0,8,1,CHOP
ETHUSDT,2026-09-03 15:00:00+00:00,0.004600000000000001,TP,8.0,4,0,TREND
ETHUSDT,2026-09-03 15:00:00+00:00,0.004600000000000001,TP,5.0,5,1,TREND
SOLUSDT,2026-09-03 15:01:00+00:00,-0.0414,MAE_KILL,67.0,8,1,CHOP
BTCUSDT,2026-09-03 15:01:00+00:00,0.004600000000000001,TP,11.0,3,0,TREND
BTCUSDT,2026-09-03 15:01:00+00:00,0.004600000000000001,TP,4.0,6,1,TREND
NEARUSDT,2026-09-03 15:04:00+00:00,0.004600000000000001,TP,4.0,4,0,TREND
BTCUSDT,2026-09-03 15:45:00+00:00,0.0005000000000000001,BE_STOP,21.0,8,5,TREND
BTCUSDT,2026-09-03 15:46:00+00:00,0.0005000000000000001,BE_STOP,40.0,2,0,TREND
BTCUSDT,2026-09-03 15:47:00+00:00,0.0005000000000000001,BE_STOP,39.0,3,1,TREND
SOLUSDT,2026-09-03 15:50:00+00:00,0.0005000000000000001,BE_STOP,29.0,7,0,TREND
SOLUSDT,2026-09-03 15:50:00+00:00,0.0005000000000000001,BE_STOP,5.0,8,1,TREND
BTCUSDT,2026-09-03 15:51:00+00:00,0.004600000000000001,TP,41.0,4,2,TREND
BTCUSDT,2026-09-03 15:51:00+00:00,0.004600000000000001,TP,37.0,5,3,TREND
ETHUSDT,2026-09-03 15:52:00+00:00,0.004600000000000001,TP,49.0,2,0,TREND
BTCUSDT,2026-09-03 15:52:00+00:00,0.004600000000000001,TP,33.0,6,4,TREND
NEARUSDT,2026-09-03 15:52:00+00:00,0.004600000000000001,TP,5.0,7,0,TREND
BTCUSDT,2026-09-03 16:33:00+00:00,0.0005000000000000001,BE_STOP,26.0,8,3,TREND
XRPUSDT,2026-09-03 18:08:00+00:00,0.0005000000000000001,BE_STOP,129.0,5,0,TREND
BTCUSDT,2026-09-03 18:26:00+00:00,0.0005000000000000001,BE_STOP,111.0,8,3,TREND
SOLUSDT,2026-09-03 19:04:00+00:00,0.004600000000000001,TP,187.0,4,0,TREND
BTCUSDT,2026-09-03 19:05:00+00:00,0.004600000000000001,TP,190.0,3,1,TREND
SOLUSDT,2026-09-03 19:05:00+00:00,0.004600000000000001,TP,57.0,8,1,TREND
BTCUSDT,2026-09-03 19:06:00+00:00,0.0005000000000000001,BE_STOP,193.0,2,0,TREND
BTCUSDT,2026-09-03 19:06:00+00:00,0.0005000000000000001,BE_STOP,185.0,6,2,TREND
NEARUSDT,2026-09-03 19:19:00+00:00,0.0005000000000000001,BE_STOP,6.0,6,0,TREND
XRPUSDT,2026-09-03 19:48:00+00:00,0.0005000000000000001,BE_STOP,37.0,5,1,TREND
BTCUSDT,2026-09-03 19:52:00+00:00,0.004600000000000001,TP,46.0,4,0,TREND
NEARUSDT,2026-09-03 20:02:00+00:00,0.0005000000000000001,BE_STOP,10.0,8,0,CHOP
ETHUSDT,2026-09-03 20:39:00+00:00,0.0005000000000000001,BE_STOP,82.0,8,1,TREND
ETHUSDT,2026-09-03 20:39:00+00:00,0.0005000000000000001,BE_STOP,37.0,8,2,CHOP
BTCUSDT,2026-09-03 21:32:00+00:00,0.004600000000000001,TP,51.0,8,2,CHOP
BTCUSDT,2026-09-03 21:34:00+00:00,0.004600000000000001,TP,132.0,8,1,TREND
BTCUSDT,2026-09-03 21:34:00+00:00,0.004600000000000001,TP,55.0,7,1,CHOP
NEARUSDT,2026-09-03 21:36:00+00:00,0.0005000000000000001,BE_STOP,3.0,8,0,CHOP
XRPUSDT,2026-09-03 22:04:00+00:00,0.0005000000000000001,BE_STOP,169.0,7,2,TREND
XRPUSDT,2026-09-03 22:05:00+00:00,0.0005000000000000001,BE_STOP,137.0,8,2,TREND
SOLUSDT,2026-09-03 22:16:00+00:00,0.0005000000000000001,BE_STOP,36.0,8,1,CHOP
SOLUSDT,2026-09-03 22:32:00+00:00,0.004600000000000001,TP,246.0,8,2,TREND
BTCUSDT,2026-09-03 22:32:00+00:00,0.004600000000000001,TP,28.0,8,2,CHOP
ETHUSDT,2026-09-03 22:32:00+00:00,0.004600000000000001,TP,24.0,8,1,CHOP
BTCUSDT,2026-09-03 23:18:00+00:00,0.0005000000000000001,BE_STOP,62.0,8,3,CHOP
NEARUSDT,2026-09-04 00:32:00+00:00,0.0005000000000000001,BE_STOP,114.0,8,0,CHOP
ETHUSDT,2026-09-04 00:36:00+00:00,0.004600000000000001,TP,78.0,8,1,CHOP
XRPUSDT,2026-09-04 01:06:00+00:00,0.0005000000000000001,BE_STOP,542.0,7,1,TREND
XRPUSDT,2026-09-04 01:34:00+00:00,0.004600000000000001,TP,28.0,8,0,CHOP
BTCUSDT,2026-09-04 01:51:00+00:00,0.0005000000000000001,BE_STOP,197.0,6,3,CHOP
BTCUSDT,2026-09-04 01:58:00+00:00,0.0005000000000000001,BE_STOP,202.0,7,4,CHOP
BTCUSDT,2026-09-04 04:38:00+00:00,0.0005000000000000001,BE_STOP,160.0,8,6,CHOP
BTCUSDT,2026-09-04 04:44:00+00:00,0.0005000000000000001,BE_STOP,173.0,8,6,CHOP
BTCUSDT,2026-09-04 06:39:00+00:00,0.0005000000000000001,BE_STOP,304.0,8,6,CHOP
BTCUSDT,2026-09-04 07:08:00+00:00,0.0005000000000000001,BE_STOP,144.0,8,5,CHOP
BTCUSDT,2026-09-04 08:06:00+00:00,0.0005000000000000001,BE_STOP,87.0,8,5,CHOP
