pair,net_frac,exit_type,mfe_frac,tp_mult
BTCUSDT,0.0046500000000000005,TP,0.006878876473568626,1.6
BTCUSDT,0.0046500000000000005,TP,0.006025396950010836,1.6
BTCUSDT,0.0046500000000000005,TP,0.006318345467301261,1.6
ETHUSDT,0.0046500000000000005,TP,0.00904830157487928,1.6
BTCUSDT,0.0046500000000000005,TP,0.006688668312591446,1.6
BTCUSDT,0.0009,BE_RAISED,0.0032241869805321177,1.6
BTCUSDT,0.0046500000000000005,TP,0.00611542195433692,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004617483471508004,1.6
XRPUSDT,0.0046500000000000005,TP,0.007796933206272302,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005619192907478597,1.6
SOLUSDT,0.0009,BE_RAISED,0.004288556986345235,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0025256695034380724,1.6
BTCUSDT,0.0046500000000000005,TP,0.008357747792260211,1.6
SOLUSDT,0.0009,BE_RAISED,0.003931355121017353,1.6
BTCUSDT,0.0009,BE_RAISED,0.0031512517123336663,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0048681345694620674,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0054924084562034976,1.6
NEARUSDT,-0.0256,MAE_KILL,0.0010763652843869197,1.6
NEARUSDT,-0.0256,MAE_KILL,0.001814161800555513,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004924681344148292,1.6
BTCUSDT,0.0009,BE_RAISED,0.0038504218456373567,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0045359687274491,1.6
BTCUSDT,0.0009,BE_RAISED,0.004039249574889233,1.6
BTCUSDT,0.0009,BE_RAISED,0.003719866709423796,1.6
XRPUSDT,0.0009,BE_RAISED,0.004360952700436174,1.6
XRPUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005203961725700842,1.6
XRPUSDT,0.0046500000000000005,TP,0.0068688222482827825,1.6
XRPUSDT,0.0046500000000000005,TP,0.007881938621499121,1.6
BTCUSDT,0.0009,BE_RAISED,0.00349346679953903,1.6
XRPUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004658514266699983,1.6
ETHUSDT,0.0046500000000000005,TP,0.006638561806464189,1.6
BTCUSDT,0.0046500000000000005,TP,0.006830996046094989,1.6
BTCUSDT,0.0046500000000000005,TP,0.006090240730049911,1.6
ETHUSDT,0.0046500000000000005,TP,0.00603649813322174,1.6
BTCUSDT,0.0046500000000000005,TP,0.008395489977805544,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0053733047348262794,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005023899469723596,1.6
ETHUSDT,0.0046500000000000005,TP,0.008458273535069916,1.6
BTCUSDT,0.0009,BE_RAISED,0.004158532419890976,1.6
BTCUSDT,0.0046500000000000005,TP,0.006630440201405893,1.6
BTCUSDT,0.0046500000000000005,TP,0.006729422909398537,1.6
BTCUSDT,0.0046500000000000005,TP,0.007520804284797339,1.6
XRPUSDT,0.005644510101413385,TP,0.008224866246107144,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.00504493323220475,1.6
ETHUSDT,-0.040600000000000004,MAE_KILL,0.00011066794746371197,1.6
BTCUSDT,0.0009,BE_RAISED,0.003373151426067314,1.6
XRPUSDT,-0.040600000000000004,MAE_KILL,0.0007159904534605417,1.6
BTCUSDT,0.0009,BE_RAISED,0.0035757854473657553,1.6
SOLUSDT,0.0009,BE_RAISED,0.0031742406942224916,1.6
BTCUSDT,0.0009,BE_RAISED,0.004065186246418418,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004926251003036034,1.6
BTCUSDT,0.0009,BE_RAISED,0.0034672298622051307,1.6
BTCUSDT,0.0009,BE_RAISED,0.003581837346330549,1.6
SOLUSDT,0.0046500000000000005,TP,0.006392912999303493,1.6
ETHUSDT,0.0046500000000000005,TP,0.007994248249653285,1.6
BTCUSDT,0.0009,BE_RAISED,0.0033973165883004913,1.6
BTCUSDT,0.0009,BE_RAISED,0.003477248974887308,1.6
BTCUSDT,0.0009,BE_RAISED,0.003447020671093561,1.6
BTCUSDT,0.0009,BE_RAISED,0.00373960856098819,1.6
BTCUSDT,0.0009,BE_RAISED,0.0038343537143063515,1.6
XRPUSDT,0.0011017028636432105,BE_RAISED,0.0037377102462012985,1.6
XRPUSDT,0.0027662744002514136,BE_RAISED_BANKED,0.006273934653304033,1.6
ETHUSDT,0.0009,BE_RAISED,0.003197761996987233,1.6
BTCUSDT,0.0046500000000000005,TP,0.006102745890550769,1.6
BTCUSDT,0.0046500000000000005,TP,0.00804198553849839,1.6
BTCUSDT,0.0009,BE_RAISED,0.003651139023505793,1.6
XRPUSDT,0.0009,BE_RAISED,0.003944614393817523,1.6
ETHUSDT,0.0009,BE_RAISED,0.0036363793036590423,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005022193749141913,1.6
ETHUSDT,0.0009,BE_RAISED,0.003327772639658524,1.6
ETHUSDT,0.0009,BE_RAISED,0.004085298969606428,1.6
NEARUSDT,0.0046500000000000005,TP,0.006599533481253942,1.6
NEARUSDT,0.0046500000000000005,TP,0.007000569151963688,1.6
XRPUSDT,0.0046500000000000005,TP,0.0060255292158882335,1.6
BTCUSDT,0.0046500000000000005,TP,0.006845172641301957,1.6
NEARUSDT,0.0046500000000000005,TP,0.006150547342286373,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005743445121295745,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004913588614029104,1.6
SOLUSDT,0.0046500000000000005,TP,0.006772908366533852,1.6
BTCUSDT,0.0046500000000000005,TP,0.00794002687603599,1.6
NEARUSDT,0.0009,BE_RAISED,0.0037744352430849814,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004943950894706945,1.6
SOLUSDT,0.0009,BE_RAISED,0.004298904289830141,1.6
XRPUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004723665564478039,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0009896590442359547,1.6
BTCUSDT,0.0046500000000000005,TP,0.007000027131888108,1.6
BTCUSDT,0.0046500000000000005,TP,0.014323851855867088,1.6
