pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime,ts_parsed,fold
BTCUSDT,2026-08-27 08:47:00+00:00,0.0005000000000000001,BE_STOP,7.0,8,6,TREND,2026-08-27 08:47:00+00:00,fold2
NEARUSDT,2026-08-27 08:51:00+00:00,0.0005000000000000001,BE_STOP,6.0,6,0,TREND,2026-08-27 08:51:00+00:00,fold2
BTCUSDT,2026-08-27 08:55:00+00:00,0.0005000000000000001,BE_STOP,28.0,6,5,TREND,2026-08-27 08:55:00+00:00,fold2
SOLUSDT,2026-08-27 09:01:00+00:00,0.0005000000000000001,BE_STOP,9.0,7,0,TREND,2026-08-27 09:01:00+00:00,fold2
BTCUSDT,2026-08-27 09:20:00+00:00,0.004600000000000001,TP,57.0,5,4,TREND,2026-08-27 09:20:00+00:00,fold2
SOLUSDT,2026-08-27 09:20:00+00:00,0.004600000000000001,TP,26.0,8,1,TREND,2026-08-27 09:20:00+00:00,fold2
ETHUSDT,2026-08-27 09:25:00+00:00,0.004600000000000001,TP,36.0,7,0,TREND,2026-08-27 09:25:00+00:00,fold2
ETHUSDT,2026-08-27 09:25:00+00:00,0.004600000000000001,TP,2.0,8,1,TREND,2026-08-27 09:25:00+00:00,fold2
BTCUSDT,2026-08-27 09:26:00+00:00,0.004600000000000001,TP,52.0,8,6,TREND,2026-08-27 09:26:00+00:00,fold2
BTCUSDT,2026-08-27 09:26:00+00:00,0.004600000000000001,TP,43.0,5,4,TREND,2026-08-27 09:26:00+00:00,fold2
BTCUSDT,2026-08-27 09:26:00+00:00,0.004600000000000001,TP,39.0,6,4,TREND,2026-08-27 09:26:00+00:00,fold2
BTCUSDT,2026-08-27 09:35:00+00:00,0.0005000000000000001,BE_STOP,14.0,7,5,TREND,2026-08-27 09:35:00+00:00,fold2
SOLUSDT,2026-08-27 09:44:00+00:00,0.0005000000000000001,BE_STOP,8.0,8,1,TREND,2026-08-27 09:44:00+00:00,fold2
BTCUSDT,2026-08-27 10:28:00+00:00,0.0005000000000000001,BE_STOP,87.0,8,5,TREND,2026-08-27 10:28:00+00:00,fold2
BTCUSDT,2026-08-27 10:29:00+00:00,0.0005000000000000001,BE_STOP,93.0,8,4,TREND,2026-08-27 10:29:00+00:00,fold2
SOLUSDT,2026-08-27 11:26:00+00:00,0.0005000000000000001,BE_STOP,9.0,7,1,TREND,2026-08-27 11:26:00+00:00,fold2
SOLUSDT,2026-08-27 11:42:00+00:00,0.0005000000000000001,BE_STOP,11.0,8,2,TREND,2026-08-27 11:42:00+00:00,fold2
SOLUSDT,2026-08-27 11:53:00+00:00,0.0005000000000000001,BE_STOP,11.0,8,2,TREND,2026-08-27 11:53:00+00:00,fold2
SOLUSDT,2026-08-27 12:07:00+00:00,0.0005000000000000001,BE_STOP,8.0,8,2,TREND,2026-08-27 12:07:00+00:00,fold2
SOLUSDT,2026-08-27 12:27:00+00:00,0.0005000000000000001,BE_STOP,16.0,8,2,TREND,2026-08-27 12:27:00+00:00,fold2
SOLUSDT,2026-08-27 12:52:00+00:00,0.0005000000000000001,BE_STOP,25.0,8,2,TREND,2026-08-27 12:52:00+00:00,fold2
