pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
BTCUSDT,2026-08-14 13:46:00+00:00,-0.022037532246144177,MAX_AGE,0.0006265634790054131,0.006,2026-08-14 13:46:00+00:00,f1
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005000000000000001,BE_STOP,0.00335181844502345,0.006,2026-08-14 16:00:00+00:00,f1
BTCUSDT,2026-08-14 16:35:00+00:00,0.004600000000000001,TP,0.006127121033740563,0.006,2026-08-14 16:35:00+00:00,f1
NEARUSDT,2026-08-14 16:42:00+00:00,0.0010000000000000002,FLOOR40,0.004323308270676633,0.006,2026-08-14 16:42:00+00:00,f1
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005000000000000001,BE_STOP,0.0035566944538959117,0.006,2026-08-14 16:47:00+00:00,f1
NEARUSDT,2026-08-14 17:28:00+00:00,0.0005000000000000001,BE_STOP,0.003307951566595843,0.006,2026-08-14 17:28:00+00:00,f1
SOLUSDT,2026-08-14 18:14:00+00:00,0.004600000000000001,TP,0.007669483667576146,0.006,2026-08-14 18:14:00+00:00,f1
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005000000000000001,BE_STOP,0.0031746031746031746,0.006,2026-08-14 19:28:00+00:00,f1
BTCUSDT,2026-08-15 03:36:00+00:00,0.0010000000000000002,FLOOR40,0.0042238765871331066,0.006,2026-08-15 03:36:00+00:00,f1
BTCUSDT,2026-08-15 05:20:00+00:00,-0.013389112758701105,MAX_AGE,0.0012990814085798849,0.006,2026-08-15 05:20:00+00:00,f1
ETHUSDT,2026-08-15 09:46:00+00:00,0.0010000000000000002,FLOOR40,0.0045443445207734795,0.006,2026-08-15 09:46:00+00:00,f1
BTCUSDT,2026-08-15 16:24:00+00:00,-0.008430037432666827,MAX_AGE,0.0015048624687929704,0.006,2026-08-15 16:24:00+00:00,f1
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,MAX_AGE,0.00064367322855766,0.006,2026-08-15 16:42:00+00:00,f1
NEARUSDT,2026-08-15 16:50:00+00:00,0.0005000000000000001,BE_STOP,0.0031059683313033526,0.006,2026-08-15 16:50:00+00:00,f1
ETHUSDT,2026-08-15 17:23:00+00:00,0.0005000000000000001,BE_STOP,0.003266843665036845,0.006,2026-08-15 17:23:00+00:00,f1
BTCUSDT,2026-08-16 00:01:00+00:00,-0.007986338547255403,MAX_AGE,0.002131893792927453,0.006,2026-08-16 00:01:00+00:00,f1
NEARUSDT,2026-08-16 00:41:00+00:00,0.0010000000000000002,FLOOR40,0.004082390053813285,0.006,2026-08-16 00:41:00+00:00,f1
ETHUSDT,2026-08-16 01:45:00+00:00,0.0010000000000000002,FLOOR40,0.0040129731566069,0.006,2026-08-16 01:45:00+00:00,f1
