pair,ts,net_frac,exit_type,variant,k,mfe_frac,hold_min
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,MAE_KILL,base,1.6,0.0,174.0
BTCUSDT,2026-08-18 14:26:00+00:00,0.0046,TP,base,1.6,0.006533959989386753,1197.0
ETHUSDT,2026-08-18 14:26:00+00:00,0.0046,TP,base,1.6,0.006323719736108325,475.0
BTCUSDT,2026-08-18 14:27:00+00:00,0.0046,TP,base,1.6,0.0065240310077519835,1203.0
BTCUSDT,2026-08-18 22:01:00+00:00,-0.028554714242977803,MAX_AGE,base,1.6,0.002711493294464376,2880.0
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,MAX_AGE,base,1.6,0.002767033005500675,2880.0
BTCUSDT,2026-08-18 22:07:00+00:00,-0.028417050923664595,MAX_AGE,base,1.6,0.002859056622685737,2880.0
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005,BE_STOP,base,1.6,0.003880976416007116,118.0
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005,BE_STOP,base,1.6,0.003980750117696239,116.0
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005,BE_STOP,base,1.6,0.0036277338686070623,140.0
BTCUSDT,2026-08-19 05:53:00+00:00,0.0046,TP,base,1.6,0.006165962648346717,345.0
BTCUSDT,2026-08-19 06:09:00+00:00,0.0046,TP,base,1.6,0.0062004048927901964,487.0
NEARUSDT,2026-08-19 06:48:00+00:00,0.0046,TP,base,1.6,0.006617968408566002,55.0
NEARUSDT,2026-08-19 06:56:00+00:00,0.0046,TP,base,1.6,0.008259330559522987,8.0
BTCUSDT,2026-08-19 12:38:00+00:00,0.0046,TP,base,1.6,0.006649043694604238,341.0
BTCUSDT,2026-08-19 12:41:00+00:00,0.0046,TP,base,1.6,0.006006519232980212,614.0
ETHUSDT,2026-08-19 12:47:00+00:00,0.0046,TP,base,1.6,0.006199666651089525,9.0
BTCUSDT,2026-08-19 13:03:00+00:00,-0.0214630918801097,MAX_AGE,base,1.6,0.0013292448031094592,2880.0
XRPUSDT,2026-08-19 13:20:00+00:00,0.0046,TP,base,1.6,0.006233303650934968,33.0
BTCUSDT,2026-08-19 13:31:00+00:00,0.0046,TP,base,1.6,0.006000777878613939,1380.0
BTCUSDT,2026-08-19 13:31:00+00:00,0.0046,TP,base,1.6,0.006535180644005677,1378.0
BTCUSDT,2026-08-19 13:34:00+00:00,0.0005,BE_STOP,base,1.6,0.003578247213155162,1385.0
NEARUSDT,2026-08-19 13:44:00+00:00,0.0005,BE_STOP,base,1.6,0.003150092649783882,23.0
BTCUSDT,2026-08-19 14:10:00+00:00,0.0046,TP,base,1.6,0.006532004358773901,25.0
NEARUSDT,2026-08-19 14:14:00+00:00,0.0005,BE_STOP,base,1.6,0.003695719125346477,92.0
BTCUSDT,2026-08-19 14:17:00+00:00,0.0046,TP,base,1.6,0.006228354545622313,44.0
SOLUSDT,2026-08-19 14:44:00+00:00,0.0046,TP,base,1.6,0.006392705693583039,34.0
NEARUSDT,2026-08-19 14:47:00+00:00,0.0005,BE_STOP,base,1.6,0.0031974420463628302,33.0
XRPUSDT,2026-08-19 14:52:00+00:00,0.0046,TP,base,1.6,0.006181318681318653,77.0
XRPUSDT,2026-08-19 14:54:00+00:00,0.0046,TP,base,1.6,0.007929515418502198,83.0
XRPUSDT,2026-08-19 14:54:00+00:00,0.0046,TP,base,1.6,0.007929515418502198,7.0
BTCUSDT,2026-08-19 14:55:00+00:00,0.0046,TP,base,1.6,0.00902632896124517,38.0
NEARUSDT,2026-08-19 14:55:00+00:00,0.0046,TP,base,1.6,0.006694098139163489,11.0
NEARUSDT,2026-08-19 15:00:00+00:00,0.0046,TP,base,1.6,0.006746810598626042,8.0
NEARUSDT,2026-08-19 15:02:00+00:00,0.0005,BE_STOP,base,1.6,0.003975778335066334,7.0
ETHUSDT,2026-08-19 15:04:00+00:00,0.0046,TP,base,1.6,0.006776104728068946,7.0
BTCUSDT,2026-08-19 15:05:00+00:00,0.0046,TP,base,1.6,0.008067712295630684,6.0
BTCUSDT,2026-08-19 15:05:00+00:00,0.0046,TP,base,1.6,0.0077264737223994885,4.0
SOLUSDT,2026-08-19 15:05:00+00:00,0.00487952797610222,TP,base,1.6,0.0068466063572099715,2.0
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,base,1.6,0.0014835013126880475,2185.0
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,MAE_KILL,base,1.6,0.0002524851080542296,544.0
ETHUSDT,2026-08-19 15:18:00+00:00,0.0005,BE_STOP,base,1.6,0.0035505430242271712,4.0
BTCUSDT,2026-08-19 15:22:00+00:00,0.0046,TP,base,1.6,0.006821605012652039,15.0
BTCUSDT,2026-08-19 15:23:00+00:00,0.0046,TP,base,1.6,0.00744024776747433,13.0
ETHUSDT,2026-08-19 15:23:00+00:00,0.0051214129633277245,TP,base,1.6,0.007655435707779431,5.0
NEARUSDT,2026-08-19 15:23:00+00:00,0.0046,TP,base,1.6,0.00864535768645357,2.0
ETHUSDT,2026-08-19 15:24:00+00:00,0.005419711528242838,TP,base,1.6,0.00872372714919118,8.0
NEARUSDT,2026-08-19 15:26:00+00:00,-0.0264,MAE_KILL,base,1.6,0.0025341492057605495,143.0
BTCUSDT,2026-08-19 15:26:00+00:00,0.0046,TP,base,1.6,0.0066337042228972725,1.0
BTCUSDT,2026-08-19 15:35:00+00:00,0.00977212520505511,TP,base,1.6,0.012317333006524806,5.0
NEARUSDT,2026-08-19 15:40:00+00:00,0.006009111434876376,TP,base,1.6,0.007455120176537219,8.0
NEARUSDT,2026-08-19 15:43:00+00:00,0.0005,BE_STOP,base,1.6,0.005990865413132451,4.0
BTCUSDT,2026-08-19 15:54:00+00:00,0.0005,BE_STOP,base,1.6,0.009049375692778637,19.0
XRPUSDT,2026-08-19 16:00:00+00:00,0.0005,BE_STOP,base,1.6,0.005152707513584468,6.0
ETHUSDT,2026-08-19 16:01:00+00:00,0.0046,TP,base,1.6,0.006033551731586226,12.0
BTCUSDT,2026-08-19 16:05:00+00:00,0.004790030736335681,TP,base,1.6,0.007922123479887746,20.0
BTCUSDT,2026-08-19 16:05:00+00:00,0.0046,TP,base,1.6,0.007546590884185764,18.0
BTCUSDT,2026-08-19 16:09:00+00:00,0.0005,BE_STOP,base,1.6,0.004938858131336525,7.0
BTCUSDT,2026-08-19 16:11:00+00:00,0.0005,BE_STOP,base,1.6,0.006283617939685526,28.0
ETHUSDT,2026-08-19 16:23:00+00:00,0.0005,BE_STOP,base,1.6,0.003575047316802731,16.0
BTCUSDT,2026-08-19 16:39:00+00:00,0.0005,BE_STOP,base,1.6,0.004388560301529595,28.0
ETHUSDT,2026-08-19 16:47:00+00:00,0.0005,BE_STOP,base,1.6,0.010704419889502841,79.0
NEARUSDT,2026-08-19 16:58:00+00:00,0.0005,BE_STOP,base,1.6,0.0036255572065378864,19.0
SOLUSDT,2026-08-19 17:03:00+00:00,0.0046,TP,base,1.6,0.006193803752931866,40.0
BTCUSDT,2026-08-19 17:08:00+00:00,0.0046,TP,base,1.6,0.0062924609963598,21.0
BTCUSDT,2026-08-19 17:19:00+00:00,0.0046,TP,base,1.6,0.006422696743495467,20.0
BTCUSDT,2026-08-19 17:19:00+00:00,0.0046,TP,base,1.6,0.006496742130773688,16.0
BTCUSDT,2026-08-19 17:28:00+00:00,0.0046,TP,base,1.6,0.006731432538479324,19.0
BTCUSDT,2026-08-19 17:30:00+00:00,0.0005,BE_STOP,base,1.6,0.0030943323004192416,10.0
NEARUSDT,2026-08-19 17:48:00+00:00,-0.0264,MAE_KILL,base,1.6,0.001866795134288873,108.0
SOLUSDT,2026-08-19 18:48:00+00:00,0.0005,BE_STOP,base,1.6,0.0032441398151084877,159.0
ETHUSDT,2026-08-19 19:13:00+00:00,0.0046,TP,base,1.6,0.006722656885935073,25.0
BTCUSDT,2026-08-19 19:15:00+00:00,0.0005,BE_STOP,base,1.6,0.0040934780184632,86.0
ETHUSDT,2026-08-19 20:07:00+00:00,0.0046,TP,base,1.6,0.008924406705442221,242.0
XRPUSDT,2026-08-19 20:15:00+00:00,0.0046,TP,base,1.6,0.007209737827715393,8.0
SOLUSDT,2026-08-19 20:50:00+00:00,0.007363206205244777,TP,base,1.6,0.014358138912866369,313.0
ETHUSDT,2026-08-19 20:50:00+00:00,-0.0414,MAE_KILL,base,1.6,0.001976856316296967,202.0
NEARUSDT,2026-08-19 20:50:00+00:00,-0.0264,MAE_KILL,base,1.6,0.00011949572802770985,198.0
SOLUSDT,2026-08-19 20:50:00+00:00,0.0046,TP,base,1.6,0.013877412142127982,97.0
BTCUSDT,2026-08-19 20:50:00+00:00,0.0046,TP,base,1.6,0.0093819024777845,35.0
BTCUSDT,2026-08-19 20:51:00+00:00,0.008266705073485219,TP,base,1.6,0.013274478003499917,310.0
XRPUSDT,2026-08-19 20:54:00+00:00,0.0046,TP,base,1.6,0.007302601551802837,3.0
SOLUSDT,2026-08-19 21:04:00+00:00,-0.0414,MAE_KILL,base,1.6,0.0029435310056036717,222.0
NEARUSDT,2026-08-19 21:04:00+00:00,0.0046,TP,base,1.6,0.010231963257950154,8.0
BTCUSDT,2026-08-19 21:06:00+00:00,0.0046,TP,base,1.6,0.006494465158287167,12.0
BTCUSDT,2026-08-19 21:06:00+00:00,0.0046,TP,base,1.6,0.007561970777960148,7.0
BTCUSDT,2026-08-19 21:06:00+00:00,0.0046,TP,base,1.6,0.006829639796949568,4.0
BTCUSDT,2026-08-19 21:07:00+00:00,0.0046,TP,base,1.6,0.009100092357423312,2.0
BTCUSDT,2026-08-19 21:21:00+00:00,0.0046,TP,base,1.6,0.0060920919793233256,9.0
SOLUSDT,2026-08-19 21:22:00+00:00,0.008845021443532042,TP,base,1.6,0.010844775424714943,4.0
BTCUSDT,2026-08-19 21:23:00+00:00,0.0046,TP,base,1.6,0.006485335118941019,7.0
BTCUSDT,2026-08-19 21:25:00+00:00,0.0005,BE_STOP,base,1.6,0.004077108017448598,17.0
BTCUSDT,2026-08-19 21:29:00+00:00,0.0005,BE_STOP,base,1.6,0.003064929010200602,5.0
BTCUSDT,2026-08-19 21:31:00+00:00,0.0046,TP,base,1.6,0.006043741470816599,21.0
ETHUSDT,2026-08-19 21:31:00+00:00,0.014543434026799003,TP,base,1.6,0.016974721511931364,11.0
NEARUSDT,2026-08-19 21:33:00+00:00,0.0046,TP,base,1.6,0.006394884092725749,7.0
ETHUSDT,2026-08-19 21:45:00+00:00,0.005415537284950073,TP,base,1.6,0.008637476538152193,7.0
ETHUSDT,2026-08-19 21:46:00+00:00,0.017096630483286378,TP,base,1.6,0.02121070003274078,32.0
BTCUSDT,2026-08-19 21:47:00+00:00,0.0046,TP,base,1.6,0.006323931238381422,18.0
BTCUSDT,2026-08-19 21:48:00+00:00,0.0005,BE_STOP,base,1.6,0.004030524197478444,17.0
SOLUSDT,2026-08-19 21:48:00+00:00,0.0005,BE_STOP,base,1.6,0.005488423577160768,14.0
BTCUSDT,2026-08-19 21:52:00+00:00,0.0005,BE_STOP,base,1.6,0.005653578350441503,30.0
BTCUSDT,2026-08-19 21:54:00+00:00,0.0005,BE_STOP,base,1.6,0.0057257717157215065,18.0
XRPUSDT,2026-08-19 22:01:00+00:00,0.0005,BE_STOP,base,1.6,0.004515672038250491,3.0
XRPUSDT,2026-08-19 22:06:00+00:00,0.0046,TP,base,1.6,0.006030507272082423,6.0
BTCUSDT,2026-08-19 22:25:00+00:00,0.0046,TP,base,1.6,0.006257966153815204,23.0
BTCUSDT,2026-08-19 22:32:00+00:00,0.0046,TP,base,1.6,0.006649957844274117,26.0
SOLUSDT,2026-08-19 22:33:00+00:00,0.0046,TP,base,1.6,0.007411217356743743,7.0
BTCUSDT,2026-08-20 03:16:00+00:00,0.0005,BE_STOP,base,1.6,0.0030651318817131582,280.0
BTCUSDT,2026-08-20 07:11:00+00:00,0.0005,BE_STOP,base,1.6,0.0030579374541451843,564.0
